id,pval_(Intercept),adj.pvalue,pval_sig,LogFC_(Intercept),LogFC (Higher is Higher in Spring)
d__Archaea;__;__;__;__;__,1.02E-04,0.532186863,0,2.539160282,0.607136478
d__Archaea;p__Aenigmarchaeota;__;__;__;__,0.931146506,0.886127723,0,-0.010737259,0.055190908
d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;__,0.931146506,0.172859688,0,-0.010737259,-0.406907212
d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales,0.931146506,6.22E-46,1,-0.010737259,3.178492556
d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Candidatus_Aenigmarchaeum,0.931146506,0.114015524,0,-0.010737259,1.521376221
d__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG);g__Deep_Sea_Euryarchaeotic_Group(DSEG),0.931146506,9.88E-59,1,-0.010737259,4.599273361
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus_Altiarchaeum,0.931146506,1.41E-47,1,-0.010737259,3.969588988
d__Archaea;p__Asgardarchaeota;c__Asgardarchaeota;o__Asgardarchaeota;f__Asgardarchaeota;g__Asgardarchaeota,0.176777319,8.20E-04,1,0.525742045,-1.309590612
d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia,7.40E-72,0.351958981,0,5.137356403,-0.4222647
d__Archaea;p__Asgardarchaeota;c__Odinarchaeia;o__Odinarchaeia;f__Odinarchaeia;g__Odinarchaeia,0.044096694,1.95E-04,1,0.913458981,-1.697307549
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia,3.33E-222,0.33027226,0,7.185416768,0.224519467
d__Archaea;p__Crenarchaeota;c__Methanomethylicia;o__Methanomethyliales;f__Methanomethyliaceae;g__Candidatus_Methanomethylicus,0.931146506,0.993428473,0,-0.010737259,-0.005582944
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Caldiarchaeales;f__Geothermarchaeaceae;g__Geothermarchaeaceae,0.190746125,0.014137723,1,0.891946141,-1.675794709
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Marine_Benthic_Group_A;f__Marine_Benthic_Group_A;g__Marine_Benthic_Group_A,0.931146506,4.22E-43,1,-0.010737259,2.808242981
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosopumilus,0.196794946,0.514006891,0,1.164716249,-0.826132873
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;__,0.174862697,1.74E-05,1,0.355466837,-1.139315405
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera,0.931146506,0.172818057,0,-0.010737259,0.918613297
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaeraceae,0.005418249,0.004462275,1,2.446635417,-2.768385864
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__Candidatus_Nitrosotalea,0.931146506,2.30E-47,1,-0.010737259,4.959247524
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__SCGC_AB-179-E04;f__SCGC_AB-179-E04;g__SCGC_AB-179-E04,0.931146506,7.74E-32,1,-0.010737259,3.001165281
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium,0.931146506,6.58E-94,1,-0.010737259,4.481110574
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter,0.931146506,0.242114783,0,-0.010737259,0.652444065
d__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__uncultured;g__uncultured,0.004998389,0.132091291,0,1.218889225,-1.174435576
d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus,0.931146506,3.12E-102,1,-0.010737259,2.834705868
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloferax,0.177659718,2.51E-04,1,0.451360861,-1.235209429
d__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;__,0.931146506,0.950044655,0,-0.010737259,-0.040703116
d__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella,0.931146506,6.51E-40,1,-0.010737259,2.89166191
d__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocellaceae,0.931146506,0.202151012,0,-0.010737259,0.799721649
