OTU_ID	P11	P12	P13	S1	S2	S3	V2	V3
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured	616.0	1900.0	2089.0	3946.0	4604.0	3793.0	970.0	794.0
d__Bacteria;__;__;__;__;__	38.0	247.0	356.0	1528.0	1545.0	1304.0	388.0	407.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__SM23-30;g__SM23-30	0.0	0.0	0.0	25.0	33.0	0.0	12.0	0.0
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia	805.0	1093.0	2693.0	3926.0	4076.0	2958.0	337.0	317.0
d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota;g__Latescibacterota	176.0	524.0	576.0	506.0	615.0	729.0	132.0	247.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__BSV26;g__BSV26	0.0	71.0	7.0	10691.0	8863.0	8121.0	837.0	1376.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__uncultured	0.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HOC36;f__HOC36;g__HOC36	0.0	0.0	0.0	18.0	0.0	0.0	9.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured;g__uncultured	0.0	30.0	23.0	201.0	260.0	379.0	38.0	72.0
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula	0.0	0.0	0.0	1619.0	1125.0	921.0	94.0	112.0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF3;f__GIF3;g__GIF3	0.0	0.0	82.0	550.0	446.0	333.0	530.0	1003.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium	0.0	0.0	0.0	48.0	34.0	95.0	0.0	60.0
